PLC-Gesamt,RL100-Code,RL100-Langname,RL100-Kurzname,Typ-Kurz,Betriebszustand,Datum-Ab
DE30002,AAPL,Apeler,Apeler,NE-Bf,Betrieb,20130904
DE30017,AAPS,Apensen,Apensen,NE-Bf,Betrieb,20090401
,AAPSB,Apensen BHE,Apensen BHE,Museum,Betrieb,20030116
DE14409,AAR,Hamburg Rainweg,Rainweg,Abzw,Betrieb,20200401
DE61147,AARF,Ahrensfelde (Bz Bremen),Ahrensfelde/Brm,NE-Bf,Betrieb,20081214
DE21742,AARG,Ahrensburg-Gartenholz           (S-Bahn),Ahrensb-Gartenh,Bf,Planung,20201001
DE21743,AARGF,Ahrensburg-Gartenholz         (Fernbahn),Ahrensb-Gh Fernb,Bft Abzw,Planung,20200401
DE21744,AARS,Ahrensburg                      (S-Bahn),Ahrensbg S-Bahn,Bf,Planung,20201001
DE21745,AARW,Ahrensburg West,Ahrensburg West,Hp,Planung,20201001
DE14422,AAS,Hamburg-Altona                  (S-Bahn),Altona (S-Bahn),Bf,Betrieb,20201001
DE21565,AAS O,Hamburg-Ottensen                (S-Bahn),Hmb-Ottensen S-B,Bft,Betrieb,20230901
DE10314,AASA,Ashausen Abzw,Ashausen Abzw,Abzw,Betrieb,20200401
,AASM,Archsum,Archsum,Bush,Betrieb,19990101
DE10313,AASN,Ashausen,Ashausen,Hp,Betrieb,20200401
DE10167,AAT,Altengörs,Altengörs,Hp,Betrieb,20081214
DE10364,AAU,Aukrug,Aukrug,Hp,Betrieb,20081214
DE60300,AAV,Alveslohe,Alvesloe,NE-Hp,Betrieb,20120701
DE14377,AAW,Hamburg Alte Wöhr,Alte Wöhr,Hp,Betrieb,20201001
DE24953,AAX,Hamburg-Altona ESTW-Z,Hmb-Altona ESTW,BZ,Betrieb,20200401
DE14437,AB,Hamburg-Blankenese,Blankenese,Bf,Betrieb,20201001
DE30023,ABAA,Basdahl,Basdahl,NE-Hp,Betrieb,20081214
DE61366,ABAAK,Basdahl-Kluste,Basdahl-Kluste,NE-Hp,Betrieb,20081214
DE10625,ABAD,Bardowick,Bardowick,Bf,Betrieb,20200401
DE10635,ABAE,Bargteheide,Bargteheide,Bf,Betrieb,20200401
DE14424,ABAF,Hamburg-Bahrenfeld,Bahrenf (S-Bahn),Hp,Betrieb,20201001
DE14426,ABAG,Hamburg-Barmbek,Hamburg-Barmbek,Bf,Betrieb,20200401
DE14425,ABAH,Hamburg-Bahrenfeld Abzw,Bahrenfeld Abzw,Abzw,Betrieb,20201001
DE14427,ABAP,Hamburg-Barmbek                 (S-Bahn),Barmbek (S-Bahn),Bf,Betrieb,20201001
DE60499,ABAS,Badenstedt (b.Rotenburg (Wümme)),Badenstedt,NE-Bf,a.B.,20090124
DE30014,ABAT,Bargstedt,Bargstedt,NE-Hp Anst,Betrieb,20081214
DE10626,ABAW,Bardowick Hp,Bardowick Hp,Hp,Betrieb,20200401
DE11215,ABB,Bickbargen,Bickbargen,Üst,Betrieb,20201001
DE60530,ABBG,Blocksberg,Blocksberg,NE-Bf,Betrieb,20081214
DE60679,ABBK,Hamburg-Billbrook,Hmb-Billbrook,NE-Bf,Betrieb,20081214
DE11785,ABCH,Büchen,Büchen,Bf,Betrieb,20200401
DE11786,ABCHG,Büchen Bbf,Büchen Bbf,Bft,Betrieb,20081214
DE30022,ABCL,Barchel,Barchel,NE-Hp,Betrieb,20090401
DE60549,ABDD,Breddorf,Breddorf,NE-Bf,a.B.,20090124
DE11185,ABDF,Beschendorf,Beschendorf,Bf,Betrieb,20200401
DE60678,ABDS,Hamburg-Bergedorf Süd,Hmb-Berged.Süd,NE-Bf,Betrieb,20081214
DE10750,ABE,Beldorf,Beldorf,Hp,Betrieb,20081214
DE60509,ABEF,Beckdorf,Beckdorf,NE-Bf,a.B.,20090124
DE30069,ABEV,Bevern (Bremervörde),Bevern,NE-Bf,Betrieb,20081214
DE10691,ABF,Bavendorf,Bavendorf,Hp,Betrieb,20081214
DE24952,ABFW,Fehmarn West,Fehmarn West,Bf,Planung,20230301
DE14429,ABG,Hamburg-Bergedorf,Hmb-Bergedorf,Bf,Betrieb,20200401
DE14431,ABG G,Hamburg-Bergedorf Gbf,Hmb-Berged Gbf,Bft,Betrieb,20090214
DE14430,ABG S,Hamburg-Bergedorf               (S-Bahn),Hmb-Bergedorf S,Bft,Betrieb,20201001
DE10825,ABGS,Beringstedt,Beringstedt,Hp,Betrieb,20081214
DE11451,ABH,Bokhorst,Bokhorst,Bf,a.B.,20200401
DE61086,ABHT,Bokholt,Bokholt,NE-Hp,Betrieb,20090401
,ABHV,Hamburg-Boberg-Havighorst,Boberg-Havigh,NE-Hp,a.B.,20251001
DE11232,ABIL,Bienenbüttel,Bienenbüttel,Bf,Betrieb,20200401
DE60680,ABIS,Hamburg-Billstedt,Hmb-Billstedt,NE-Bf,Betrieb,20081214
DE11760,ABK,Brunsbüttel,Brunsbüttel,Bf,Betrieb,20081214
DE24951,ABLX,Buchholz (Nordheide) ESTW-UZ,Buchholz ESTW,BZ,Planung,20200401
DE25827,ABLXX,Buchholz ESTW-ZE,Buchholz ZE,TSO,Planung,20250701
DE25827,ABLXX,Buchholz ESTW-ZE,Buchholz ZE,TSO,Betrieb,20290101
DE11775,ABLZ,Buchholz (Nordheide),Buchholz (Nordh),Bf,Betrieb,20200401
DE11450,ABM,Bokelholm,Bokelholm,Bf,a.B.,20200401
DE21617,ABM N,Bokelholm Nord,Bokelholm N,Bk,a.B.,20190116
DE21618,ABM S,Bokelholm Süd,Bokelholm Süd,Bk,a.B.,20190116
DE60505,ABMB,Barmstedt Brunnenstraße,Barm Brunnenstr,NE-Hp,Betrieb,20120701
DE60504,ABMS,Barmstedt,Barmstedt,NE-Bf,Betrieb,20090401
DE60535,ABNS,Bönningstedt,Bönningstedt,NE-Bft,Betrieb,20120701
DE30063,ABOE,Bötersen,Bötersen,NE-Hp,Betrieb,20130904
DE60545,ABOS,Boostedt,Boostedt,NE-Bf,Betrieb,20081214
DE11834,ABR,Burg (Dithm),Burg (Dithm),Hp,Betrieb,20200401
DE11835,ABRA,Burg (Dithm) Awanst,Burg Awanst,Awanst,a.B.,20200401
DE11607,ABRB,Bredenbek,Bredenbek,Hp,Betrieb,20141214
,ABRBM,Bredenbek Mühlenweg,Bredenb Mühlenwg,Bush,,20230114
DE11488,ABRD,Bordesholm,Bordesholm,Bf,Betrieb,20200401
DE30024,ABRI,Brillit,Brillit,NE-Hp Anst,Betrieb,20081214
DE11558,ABRM,Brandenbaum,Brandenbaum,Abzw,Betrieb,20200401
DE60559,ABRO,Brockel,Brockel,NE-Bf,Betrieb,20081214
,ABRP,Braderup,Braderup,Bush,Betrieb,19990101
DE11716,ABRS,Brokstedt,Brokstedt,Bf,Betrieb,20200401
DE14433,ABS,Hamburg-Billwerder                 (Üst),Billwerder,Üst,Betrieb,20201001
DE24950,ABSC,Bad Schwartau FBQ,B Schwartau FBQ,Bf,Planung,20201001
DE60489,ABSD,Bad Bramstedt,Bad Bramstedt,NE-Bf,Betrieb,20081214
DE60536,ABSF,Börnsen,Börnsen,NE-Hp,Betrieb,20081214
DE60490,ABSK,Bad Bramstedt Kurhaus,Bad Bramst Kurh,NE-Hp,Betrieb,20081214
DE11814,ABSM,Büsum,Büsum,Bf,Betrieb,20081214
,ABSMH,Büsum Hafen,Büsum Hafen,Slst,Betrieb,19990101
,ABSN,Besenhorst,Besenhorst,NE-Bf,a.B.,20251001
DE11608,ABST,Bredstedt,Bredstedt,Bf,Betrieb,20200401
,ABSTB,Bredstedt Bf,Bredstedt Bf,Bush,Betrieb,20040303
,ABSTM,Bredstedt Marktplatz,Bredstedt Markt,Bush,Betrieb,19990101
DE14379,ABTS,Hamburg Berliner Tor,Berliner Tor,Bft,a.B.,20201001
DE14382,ABTSB,Hamburg Berliner Tor         (Bergedorf),Berliner Tor B,Bft,Betrieb,20201001
DE14381,ABTSL,Hamburg Berliner Tor          (Landwehr),Berliner Tor L,Bft,Betrieb,20201001
DE21683,ABUA,Burg (Fehmarn) Abzw,Burg (F) Abzw,Bft Abzw,Betrieb,20200401
DE11794,ABUE,Büdelsdorf,Büdelsdorf,Bft,Planung,20201125
DE61823,ABUF,Fehmarn-Burg,Fehmarn-Burg,NE-Bft,Betrieb,20221201
DE11836,ABUG,Burg (Fehmarn) DB-Grenze,Burg (F) DB-Gr,Gp,Betrieb,20200401
DE11813,ABUS,Büsenbachtal,Büsenbachtal,Hp,Betrieb,20081214
,ABUSS,Alter Schafstall,Alter Schafstall,Museum,Betrieb,20000414
DE11837,ABUW,Burg (Fehmarn) West,Burg(F)West,Bf,Betrieb,20200401
DE25145,ABUWN,Burg (Fehmarn) West             Abzw Bft,Burg (F) W Abzw,Bft Abzw,Betrieb,20210201
DE30010,ABV,Bremervörde,Bremervörde,NE-Bf,Betrieb,20081214
DE60367,ABVD,Bremervörde Süd,Bremervörde Süd,NE-Bf,Betrieb,20081214
DE10408,ABVS,Bad Bevensen,Bad Bevensen,Bf,Betrieb,20220501
DE60573,ABWD,Hamburg-Burgwedel,Burgwedel,NE-Hp,Betrieb,20081214
DE24980,ABWG,Buscher Weg,Buscher Weg,Abzw,Planung,20201001
DE14435,ABWM,Hamburg-Billwerder-Moorfleet,Billw-Moorfl,Bf,Betrieb,20201001
DE11880,ABX,Buxtehude,Buxtehude,Bf,Betrieb,20200401
DE21663,ABXA,Buxtehude Abzw,Buxtehude Abzw,Bft Abzw,Betrieb,20200401
DE11881,ABXG,Buxtehude DB-Grenze,Buxtehude DB-Gr,Gp,Betrieb,20200401
DE11816,ABZ,Bützfleth,Bützfleth,Anst,ehemals,20251001
DE24949,ABZS,Hamburg Betriebszentrale S-Bahn,Hambg BZ S-Bahn,BZ,Betrieb,20201001
DE11883,ACD,Cadenberge,Cadenberge,Bf,Betrieb,20081214
DE21746,ACSS,Hamburg Claudiusstraße,Claudiusstraße,Bf,Planung,20201001
DE21747,ACSSB,Hamburg Bovestraße,Bovestraße,Bft,Planung,20201001
DE12029,ACV,Cuxhaven,Cuxhaven,Bf,Betrieb,20081214
,ACV A,Cuxhaven Alte Liebe,Cuxhaven Alte Lb,Slst,Betrieb,19990101
,ACV B,Cuxhaven Bf/ZOB,Cuxhaven Bf/ZOB,Bush,Betrieb,20010320
,ACV C,Cuxhaven-Döse Kirche,Cuxhvn-Döse Kir,Bush,Betrieb,20010315
,ACV E,Cuxhaven-Duhnen Seelust,Cuxhvn-Duh Seel,Bush,Betrieb,20010317
DE12030,ACV F,Cuxhaven CF,Cuxhaven CF,Bft,Betrieb,20081214
DE12032,ACV G,Cuxhaven Gbf,Cuxhaven Gbf,Bft,Betrieb,20081214
,ACV H,Cuxhaven Helgoländer Kai,Cuxhv Helgol Kai,Slst,Betrieb,20021219
,ACV K,Cuxhaven Alte Liebe Katamaran,Cuxhv Alte L Kat,Slst,Betrieb,19990213
,ACV L,Cuxhaven Lichtenbergplatz,Cuxhaven Lichten,Bush,Betrieb,20010315
DE25440,ACV M,Cuxhaven Amerika Bahnhof,Cux Amerika Bf,Bft,Betrieb,20100603
,ACV N,Cuxhaven Döser Nordfeld,Cuxhvn Dös Nord,Bush,Betrieb,20010317
,ACV O,Cuxhaven-Duhnen Dorfbrunnen,Cuxhvn-Duh Dorf,Bush,Betrieb,20010315
,ACV W,Cuxhaven-Döse Kreuzweg,Cuxhvn-Döse Kreu,Bush,Betrieb,20010315
DE12031,ACVG,Cuxhaven DB-Grenze,Cuxhaven DB-Gr,Gp,Betrieb,20130905
DE24948,ACVX,Cuxhaven ESTW,Cuxhaven ESTW,BZ,Betrieb,20170916
DE12053,ADA,Dalldorf,Dalldorf,Bf,Betrieb,20081214
DE12062,ADB,Dannenberg Ost,Dannenberg Ost,Bf,Betrieb,20081214
DE12063,ADBG,Dannenberg Ost DB-Grenze,Dannenb O DB-Gr,Gp,Betrieb,20141214
DE60579,ADBH,Dagebüll Hafen,Dagebüll Hafen,NE-Bf,Betrieb,20081214
DE60580,ADBK,Dagebüll Kirche,Dagebüll Kirche,NE-Hp,Betrieb,20081214
,ADDL,Diekjen-Deel,Diekjen-Deel,Bush,Betrieb,19990101
DE12174,ADEV,Deutsch Evern,Deutsch Evern,Bf,Betrieb,20200401
DE14383,ADF,Hamburg Dammtor,Hamburg Dammtor,Hp,Betrieb,20200401
DE12093,ADH,Dauenhof,Dauenhof,Bf,Betrieb,20200401
DE12046,ADL,Dahlenburg,Dahlenburg,Bf,Betrieb,20081214
DE60581,ADM,Dagebüll Mole,Dagebüll Mole,NE-Bf,Betrieb,20081214
DE12420,ADO,Dorum,Dorum,Bf,Betrieb,20081214
,ADPA,Padborg DB (DK) entspricht XDPA,Padborg DB XDPA,Emst,Betrieb,20210224
DE12281,ADR,Dollern,Dollern,Hp,Betrieb,20200401
DE30054,ADS,Deinste,Deinste,NE-Bf,Betrieb,20081214
,ADS K,Deinste Kleinbf,Deinste Kleinbf,Museum,Betrieb,20000414
DE14384,ADST,Hamburg Dammtor                 (S-Bahn),Dammtor (S-Bahn),Hp,Betrieb,20201001
DE14385,ADT,Hamburg Diebsteich,Diebsteich,Bf,Betrieb,20201001
,ADW,Dannenberg West,Dannenberg West,NE-Hp,ehemals,20251001
DE61166,ADZB,Deezbüll,Deezbüll,NE-Hp,Betrieb,20081214
DE14438,AE,Hamburg-Eidelstedt,Hmb-Eidelstedt,Bf,Betrieb,20200401
DE14440,AE  F,Hamburg-Eidelstedt (Ef),Hmb-Eidelst Ef,Bft,Betrieb,20081214
DE14441,AE  N,Hamburg-Eidelstedt (En),Hmb-Eidelst En,Bft,Betrieb,20081214
DE14442,AE  O,Hamburg-Eidelstedt (Eo),Hmb-Eidelst Eo,Bft,Betrieb,20250301
DE60615,AEBG,Escheburg,Escheburg,NE-Hp,Betrieb,20081214
DE19253,AEBR,Sankt Annen Eiderbrücke,Eiderbrücke,Üst,Betrieb,20200401
DE12678,AEC,Eckernförde,Eckernförde,Bf,Betrieb,20100801
DE12671,AECH,Echem,Echem,Hp,Betrieb,20081214
DE24947,AECX,Lindaunis ESTW-Z,Lindaunis ESTW,BZ,a.B.,20171210
DE12777,AEF,Einfeld,Einfeld,Hp,Betrieb,20200401
DE24979,AEGG,Hamburg Gutenbergstraße          (DB-Gr),Gutenbst DB-Gr,Gp,Betrieb,20250301
DE14386,AEGS,Hamburg Elbgaustraße,Elbgaustraße,Bf,Betrieb,20201001
DE21690,AEGT,Hamburg Gutenbergstraße Abzw,Gutenbergst Abzw,Bft Abzw,Betrieb,20201001
,AEI,Eidersperrwerk,Eidersperrwerk,Slst,Betrieb,19990101
DE12832,AEL,Elmshorn,Elmshorn,Bf,Betrieb,20200401
,AEL B,Elmshorn ZOB,Elmshorn ZOB,Bush,,20200827
DE12833,AEL N,Elmshorn Nord,Elmshorn Nord,Bft,Betrieb,20081214
DE12834,AEL W,Elmshorn West,Elmshorn West,Bft,Betrieb,20081214
DE60607,AELA,Ellerau,Ellerau,NE-Bf,Betrieb,20081214
DE21601,AELB,Hamburg Elbbrücken,Elbbrücken,Hp,Betrieb,20201001
DE21727,AELS,Hamburg Norderelbe,Norderelbe,Üst,Betrieb,20201001
DE24946,AELX,Elmshorn ESTW-Z,Elmshorn ESTW,BZ,Betrieb,20200401
,AEN,Hamburg-Eidelstedt                 (AKN),Hmb-Eidelstedt,NE-Bf,a.B.,20251001
DE14444,AENG,Hamburg-Eidelstedt Zentrum DB-Gr,Eidelst Zentr Gr,Gp,Betrieb,20201001
DE61469,AENZ,Hamburg-Eidelstedt Zentrum,Hmb-Eidelst Zent,NE-Bf,Betrieb,20081214
DE12683,AEOF,Edendorf,Edendorf,Bf,a.B.,20200401
DE14388,AERI,Hamburg Ericus,Ericus,Abzw,Betrieb,20200401
DE25290,AERX,Hamburg-Eidelstedt Rangierstellwerk FV,Eidelst RaSTW FV,BZ,Planung,20211201
DE62030,AESA,Elbgaustraße-Stellingen            (AKN),Stell      (AKN),NE-Bft,Betrieb,20190131
DE14445,AESG,Elbgaustraße-Stellingen          (DB-Gr),Stelling (DB-Gr),Gp,Betrieb,20201001
DE62028,AESGW,Elbgaustraße-Stellingen (AKN-Gr),Stell W (AKN-Gr),NE-Gp,Betrieb,20190131
DE30051,AESL,Essel (Kr Stade),Essel (Kr Stade),NE-Hp,Betrieb,20081214
DE14439,AEST,Hamburg-Eidelstedt              (S-Bahn),Eidelst (S-Bahn),Bft,Betrieb,20201001
DE62029,AESW,Elbgaustraße-Stellingen (Werk S-Bahn),Stell W (S-Bahn),NE-Bft,Betrieb,20190131
DE13114,AEU,Eutin,Eutin,Bf,Betrieb,20100801
DE24945,AEX,Hamburg-Eidelstedt ESTW-Z,Hmb-Eidelst ESTW,BZ,Betrieb,20200401
DE13214,AF,Flensburg,Flensburg,Bf,Betrieb,20200401
,AF  B,Flensburg Bahnhof,Flensburg Bf,Bush,Betrieb,20080105
,AF  Z,Flensburg ZOB,Flensburg ZOB,Bush,Betrieb,19990101
DE60626,AFAL,Faulück,Faulück,NE-Hp,a.B.,20090401
DE14458,AFB,Hamburg-Klein Flottbek,Klein Flottbek,Bf,Betrieb,20201001
DE14390,AFBG,Hamburg Friedrichsberg,Friedrichsbg,Hp,Betrieb,20201001
DE13235,AFC,Fockbek,Fockbek,Anst,a.B.,20200401
DE13467,AFD,Friedrichstadt,Friedrichstadt,Hp,Betrieb,20230101
DE30053,AFE,Fredenbeck,Fredenbeck,NE-Hp,Betrieb,20081214
DE13166,AFEB,Felde-Brandsbek,Felde-Brandsbek,Bf,Betrieb,20141214
DE30007,AFF,Frelsdorf,Frelsdorf,NE-Hp,Betrieb,20081214
DE60627,AFFB,Fiefbergen,Fiefbergen,NE-Bf,Betrieb,20240501
DE13215,AFHF,Flensburg Alter Bahnhof,Flensbg Alter Bf,Bft,ehemals,20251001
DE13204,AFIB,Fischbek,Fischbek,Hp,Betrieb,20200401
DE13130,AFK,Fahrenkrug,Fahrenkrug,Bft,Betrieb,20081214
DE13421,AFN,Fresenburg,Fresenburg,Hp,Betrieb,20081214
DE25559,AFO,Flensburg Ost,Flensburg Ost,TaW,Betrieb,20240201
DE13216,AFR,Flensburg Friedensweg,Friedensweg,Abzw,Betrieb,20200401
DE13464,AFRD,Friedrichsruh,Friedrichsruh,Hp,Betrieb,20200401
DE60633,AFRG,Friedrichsgabe,Friedrichsgabe,NE-Hp,Betrieb,20221201
DE13218,AFS,Flensburg Süd,Flensburg Süd,Awanst,Betrieb,20200401
DE13223,AFT,Flintbek,Flintbek,Hp,Betrieb,20200401
DE13219,AFW,Flensburg Weiche,Flensburg Weiche,Bf,Betrieb,20200401
DE13220,AFW S,Flensburg Weiche Süd,Flensbg W Süd,Bft,a.B.,20190116
DE25272,AFWL,Friedrich-Wilhelm-Lübke-Koog,F-W-L-Koog,Üst,Planung,20330101
DE24944,AFX,Flensburg ESTW-Z,Flensburg ESTW,BZ,Betrieb,20200401
,AGAS,Garstedt,Garstedt,NE-Bf,a.B.,20251001
DE13562,AGD,Garding,Garding,Hp,Betrieb,20081214
,AGD M,Garding Mitte,Garding Mitte,Bush,Betrieb,20200301
DE60642,AGEH,Geesthacht,Geesthacht,NE-Bf,Betrieb,20081214
DE13730,AGF,Gettorf,Gettorf,Bf,Betrieb,20081214
DE13811,AGH,Göhrde,Göhrde,Hp,Betrieb,20081214
DE14146,AGHI,Grüner Hirsch,Grüner Hirsch,Bf,Betrieb,20200401
DE13813,AGK,Gokels,Gokels,Hp,Betrieb,20081214
,AGL,Gollau,Gollau,NE-Hp,ehemals,20251001
DE30026,AGNB,Gnarrenburg,Gnarrenburg,NE-Bf,Betrieb,20081214
DE62160,AGNBB,Gnarrenburg Bahnsteig,Gnarrenburg Bstg,NE-Bft,Betrieb,20240501
DE30025,AGNBN,Gnarrenburg Nord,Gnarrenburg Nord,NE-Hp,Betrieb,20081214
DE60649,AGND,Glinde,Glinde,NE-Bf,Betrieb,20240601
DE30067,AGO,Godenstedt,Godenstedt,NE-Bf,Betrieb,20081214
DE13810,AGOE,Göhl,Göhl,Bf,Betrieb,20200401
DE14024,AGR,Groß Schlamin,Groß Schlamin,Bf,Betrieb,20200401
DE24943,AGRB,Großenbrode FBQ,Großenbrode FBQ,Bf,Planung,20201001
,AGRD,Grabow (Kr Dannenberg),Grabow(Dannenbg),NE-Hp,ehemals,20251001
DE24942,AGRH,Großenbrode-Heiligenhafen,Gbrode-Heiligenh,Hp,Planung,20201001
DE14057,AGRO,Großenbrode,Großenbrode,Bf,Betrieb,20200401
,AGROB,Großenbrode Dorfmitte,Großenbrode Dorf,Bush,,20220806
,AGROR,Großenbrode Rathaus,Großenbr Rathaus,Bush,,20230113
DE24941,AGRS,Groß Schlamin FBQ,Gr Schlamin FBQ,Üst,Planung,20201001
DE60665,AGSA,Großenaspe,Großenaspe,NE-Bf,Betrieb,20081214
DE13797,AGST,Glückstadt,Glückstadt,Bf,Betrieb,20200401
DE30006,AGTH,Geestenseth,Geestenseth,NE-Bf,Betrieb,20081214
DE14182,AGUE,Güster,Güster,Bf,Betrieb,20081214
,AGY,Gyhum,Gyhum,NE-Bk,Betrieb,20261213
DE14393,AH,Hamburg Hbf,Hamburg Hbf,Bf,Betrieb,20200401
,AH  K,Hamburg Hbf Kirchenallee (Bus),Hmb Hbf Kirchena,Bush,Betrieb,20160628
,AH  S,Hamburg Hbf Spitaler Str. (Bus),Hmb Hbf Spitaler,Bush,Betrieb,20160628
,AH  Z,Hamburg Hbf ZOB,Hamburg Hbf ZOB,Bush,Betrieb,20151006
DE14580,AHA,Harblek,Harblek,Hp,Betrieb,20081214
,AHA B,Oldenswort ZOB,Oldenswort ZOB,Bush,,20230725
,AHA O,Oldenswort Kirche,Oldenswort Kirch,Bush,,20230622
DE14446,AHAB,Hamburg-Hammerbrook,Hammerbrook,Bft,Betrieb,20201001
DE14232,AHAF,Haffkrug,Haffkrug,Hp,Betrieb,20220901
,AHAGL,Hagel,Hagel,Museum,Betrieb,20170916
DE10690,AHAK,Haffkrug FBQ,Haffkrug FBQ,Bf Abzw,Planung,20201001
DE14524,AHAM,Hammah,Hammah,Hp,Betrieb,20081214
DE14541,AHAN,Handeloh,Handeloh,Bf,Betrieb,20081214
DE14447,AHAR,Hamburg-Harburg,Hmb-Harburg,Bf,Betrieb,20200401
DE14449,AHARB,Hamburg-Harburg Bbf,Hmb-Harburg Bbf,Bft,Betrieb,20081214
DE14450,AHARH,Hamburg-Harburg Betriebsbahnhof Süd,Hmb-Harb Bbf Süd,Bft,Betrieb,20081214
DE24940,AHAX,Hamburg-Harburg ESTW-UZ,Hmb-Harburg ESTW,BZ,Betrieb,20200401
DE14416,AHB,Hamburg Unterelbe,Hmb Unterelbe,Bf,Betrieb,20200401
DE14454,AHBG,Hamburg-Hausbruch DB-Grenze,Hmb-Hausbr DB-Gr,Gp,Betrieb,20200401
DE14432,AHBI,Hamburg-Billwerder,Hmb-Billwerder,Bf,Betrieb,20200401
DE14436,AHBIA,Hamburg-Billwerder-Moorfleet      (Abzw),Billwerder-Moorf,Bft Abzw,Betrieb,20200401
DE14434,AHBIU,Hamburg-Billwerder Ubf,Hmb-Billwerd Ubf,Bft,Betrieb,20081214
DE25715,AHBIX,Hamburg-Billwerder ESTW-UZ,Hmb-Billw ESTW,BZ,Planung,20241201
DE15043,AHBK,Hollenbek,Hollenbek,Hp,a.B.,20200401
DE14452,AHBR,Hamburg-Hausbruch,Hmb-Hausbruch,Bf,Betrieb,20200401
DE81390,AHBRM,Hamburg-Hausbruch Mitte,Hausbruch Mitte,NE-Bft,Betrieb,20121209
DE14453,AHBRS,Hamburg-Hausbruch               (S-Bahn),Hmb-Hausbruch SB,Üst,Betrieb,20201001
DE81101,AHBS,Hamburg Süd,Hamburg Süd,NE-Bft,Betrieb,20121209
DE62071,AHBSP,Hamburg Süd Peute,Peute,NE-Bft,Betrieb,20211212
DE14380,AHBT,Hamburg Berliner Tor               (Üst),Hmb-Berliner Tor,Üst,Betrieb,20210716
DE14396,AHCH,Hamburg Hoheneichen,Hoheneichen,Hp,Betrieb,20201001
DE14413,AHDG,Hamburg Süd DB-Grenze,Hmb Süd DB-Gr,Gp,Betrieb,20200401
DE30029,AHDH,Heudorf-Hüttendorf,Heudorf-Hüttendf,NE-Hp,Betrieb,20081214
DE60700,AHDN,Heidenau (Kr.Harburg),Heidenau (Harb),NE-Bf,Betrieb,20081214
DE14630,AHDT,Hattstedt,Hattstedt,Üst,Betrieb,20200401
DE14758,AHE,Hemmingstedt,Hemmingstedt,Bf,Betrieb,20200401
DE30043,AHEL,Heeslingen,Heeslingen,NE-Bf,Betrieb,20081214
DE14759,AHEM,Hemmoor,Hemmoor,Hp,Betrieb,20081214
DE14658,AHEN,Hechthausen,Hechthausen,Hp Üst,Betrieb,20230101
DE14805,AHER,Heringsdorf (Holst),Heringsdorf(Hol),Bf,a.B.,20200401
DE15046,AHES,Holm-Seppensen,Holm-Seppensen,Hp,Betrieb,20081214
DE30015,AHFD,Harsefeld,Harsefeld,NE-Bf,Betrieb,20081214
DE14455,AHFS,Hamburg-Heimfeld,Heimfeld,Hp,Betrieb,20201001
,AHGH,Hagen (Holst),Hagen (Holst),NE-Bf,a.B.,20251001
